title,pubDate,guid,link,description
US agrees to ease Trump-era sanctions on Cuba,"Tue, 17 May 2022 00:22:59 GMT",https://www.bbc.co.uk/news/world-europe-61473884,https://www.bbc.co.uk/news/world-europe-61473884?at_medium=RSS&at_campaign=KARANGA,Under the new rules more travel will be permitted to the island and visa processing will speed-up.
Julia James: Callum Wheeler guilty of PCSO murder,"Mon, 16 May 2022 17:34:00 GMT",https://www.bbc.co.uk/news/uk-england-kent-61434459,https://www.bbc.co.uk/news/uk-england-kent-61434459?at_medium=RSS&at_campaign=KARANGA,"Callum Wheeler attacked the 53-year-old after ""ambushing"" her in woodland while she walked her dog."
Turkey threatens to block Finland and Sweden Nato bids,"Mon, 16 May 2022 21:31:29 GMT",https://www.bbc.co.uk/news/world-europe-61472021,https://www.bbc.co.uk/news/world-europe-61472021?at_medium=RSS&at_campaign=KARANGA,Turkish President Erdogan accused the Nordic nations of harbouring terrorists wanted by Ankara.
"Johnny Depp hit me on honeymoon, says Amber Heard","Mon, 16 May 2022 21:33:14 GMT",https://www.bbc.co.uk/news/world-us-canada-61467766,https://www.bbc.co.uk/news/world-us-canada-61467766?at_medium=RSS&at_campaign=KARANGA,The actress says she believes that she wouldn't have survived if their marriage had continued.
Coleen Rooney says texts between Vardy and agent were evil,"Mon, 16 May 2022 17:11:02 GMT",https://www.bbc.co.uk/news/entertainment-arts-61458158,https://www.bbc.co.uk/news/entertainment-arts-61458158?at_medium=RSS&at_campaign=KARANGA,Coleen Rooney finished giving evidence on day five of a libel case brought by Rebekah Vardy.
Monkeypox: Four more cases detected in England,"Mon, 16 May 2022 17:25:45 GMT",https://www.bbc.co.uk/news/health-61470940,https://www.bbc.co.uk/news/health-61470940?at_medium=RSS&at_campaign=KARANGA,"The viral infection is rare and the risk to the public remains very low, experts say."
"Help must come, says former PM John Major on cost of living crisis","Mon, 16 May 2022 15:45:49 GMT",https://www.bbc.co.uk/news/uk-politics-61465436,https://www.bbc.co.uk/news/uk-politics-61465436?at_medium=RSS&at_campaign=KARANGA,"Sir John Major warns about rising prices, as a minister is criticised for advocating people working more hours."
Probe after man wrongly diagnosed with Alzheimer's disease,"Mon, 16 May 2022 13:22:13 GMT",https://www.bbc.co.uk/news/uk-england-leicestershire-61465485,https://www.bbc.co.uk/news/uk-england-leicestershire-61465485?at_medium=RSS&at_campaign=KARANGA,Alex Preston says he wants answers after being told he had the illness for seven years.
The Papers: 'Apocalyptic' food cost and footballer's gay pride,"Mon, 16 May 2022 23:09:27 GMT",https://www.bbc.co.uk/news/blogs-the-papers-61474081,https://www.bbc.co.uk/news/blogs-the-papers-61474081?at_medium=RSS&at_campaign=KARANGA,The papers focus on cost-of-living warnings and Championship footballer Jake Daniels coming out as gay.
Man with guide dog twice refused access by Tesco,"Mon, 16 May 2022 23:03:42 GMT",https://www.bbc.co.uk/news/uk-england-london-61468496,https://www.bbc.co.uk/news/uk-england-london-61468496?at_medium=RSS&at_campaign=KARANGA,"Within a week, Sean Dilley was told in two Tesco stores he wasn't allowed to take in his guide dog."
What do Indigenous people want from Australia's election?,"Mon, 16 May 2022 23:01:47 GMT",https://www.bbc.co.uk/news/world-australia-61463070,https://www.bbc.co.uk/news/world-australia-61463070?at_medium=RSS&at_campaign=KARANGA,Seven Indigenous people explain their most pressing concerns for Australia's next government.
Harry Styles' new album Harry's House charms music critics,"Mon, 16 May 2022 15:02:07 GMT",https://www.bbc.co.uk/news/entertainment-arts-61463365,https://www.bbc.co.uk/news/entertainment-arts-61463365?at_medium=RSS&at_campaign=KARANGA,"Harry's House is praised for its ""abundant charm"", with ""really well-crafted pop songs""."
Open-top bus parade as Stockport seal return to Football League,"Mon, 16 May 2022 20:56:56 GMT",https://www.bbc.co.uk/news/uk-england-manchester-61474021,https://www.bbc.co.uk/news/uk-england-manchester-61474021?at_medium=RSS&at_campaign=KARANGA,Thousands of fans turn out to celebrate Stockport County's return to the Football League.
